Artist,Album,Title,Genre,Comments,music_folder,image_folder,Id
John Mayer,Essentials,Slow Dancing in a Burning Room,Pop,www.t.me/pmedia_music,/songs/12. Slow Dancing in a Burning Room.mp3,/image/cover-205.jpg,205
Camila Cabello,Romance,Used To This,Pop,Freak37,/songs/12. Used To This.mp3,/image/cover-206.jpg,206
Ed Sheeran,=,Visiting Hours,None,PMEDIA,/songs/12. Visiting Hours.mp3,/image/cover-207.jpg,207
Katy Perry,Smile (Deluxe),What makes a woman,Pop,Freak37,/songs/12. What Makes A Woman (Extended Version) (2).mp3,/image/cover-208.jpg,208
Nirvana,Greatest Hits,Dumb,Grunge,None,/songs/12.Dumb.mp3,/image/cover-209.jpg,209
Ed Sheeran,÷,Barcelona,None,Freak37,/songs/13 - Barcelona.mp3,/image/cover-210.jpg,210
Coldplay,Greatest Songs,Don't Panic,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/13 - Don't Panic.mp3,/image/cover-211.jpg,211
Dua Lipa,Dua Lipa,Dreams,Indie Pop / Pop,Hunter,/songs/13 - Dreams.mp3,/image/cover-212.jpg,212
Frank Sinatra,Platinum Selection,I Get A Kick Out Of You,"Vocal Jazz, Pop",Freak37,/songs/13 - I Get A Kick Out Of You.mp3,/image/cover-213.jpg,213
One Direction,Take Me Home,Summer Love,Pop,None,/songs/13 - Summer Love.mp3,/image/cover-214.jpg,214
The Chainsmokers,100% Chainsmokers,You Owe Me,Pop,None,/songs/13 - The Chainsmokers - You Owe Me.mp3,/image/cover-215.jpg,215
Taylor Swift,Essentials,Mean,Pop,Freak37,/songs/13 Mean.mp3,/image/cover-216.jpg,216
Snow Patrol,Greatest Hits,Take Back the City,Alternative,None,/songs/13 Snow Patrol - Take Back the City.mp3,/image/cover-217.jpg,217
The Beatles,Help! (Remastered),You're Going To Lose That Girl,(17)Rock,None,/songs/13 your going to lose that girl.mp3,/image/cover-375.png,218
Imagine Dragons,Origins (Deluxe),Birds,Alternative,Freak37,/songs/13. Birds.mp3,/image/cover-219.jpg,219
Oasis,Oasis - Greatest Hits CD1,D'You Know What I Mean,None,None,/songs/13. D'You Know What I Mean.mp3,/image/cover-376.jpg,220
Camila Cabello,Romance,First Man,Pop,Freak37,/songs/13. First Man.mp3,/image/cover-221.jpg,221
Katy Perry,Smile (Deluxe),High on your supply,Pop,Freak37,/songs/13. High On Your Supply.mp3,/image/cover-222.jpg,222
Calum Scott,Only Human (Deluxe),Not Dark Yet,-13,https://musicriders.blogspot.com,/songs/13. Not Dark Yet.mp3,/image/cover-223.jpg,223
Oasis,Oasis - Greatest Hits CD2,Oasis  Let There Be Love,None,None,/songs/13. Oasis  Let There Be Love.mp3,/image/cover-376.jpg,224
Snoop Dogg,BODR,Pop Pop (feat. DaBaby),None,PMEDIA,/songs/13. Pop Pop (feat. DaBaby).mp3,/image/cover-225.jpg,225
Ed Sheeran,=,Sandman,None,PMEDIA,/songs/13. Sandman.mp3,/image/cover-226.jpg,226
John Mayer,Essentials,XO,"Alternative, Pop, Singer & Songwriter",www.t.me/pmedia_music,/songs/13. XO.mp3,/image/cover-227.jpg,227
Nirvana,Greatest Hits,All Apologies,Grunge,None,/songs/13.All Apologies.mp3,/image/cover-228.jpg,228
Ed Sheeran,÷,Bibia Be Ye Ye,None,Freak37,/songs/14 - Bibia Be Ye Ye.mp3,/image/cover-229.jpg,229
Coldplay,Greatest Songs,Fix You,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/14 - Fix You.mp3,/image/cover-230.jpg,230
Frank Sinatra,Platinum Selection,In The Wee Small Hours,"Vocal Jazz, Pop",Freak37,/songs/14 - In The Wee Small Hours.mp3,/image/cover-231.jpg,231
Dua Lipa,Dua Lipa,Room For 2,Indie Pop / Pop,Hunter,/songs/14 - Room For 2.mp3,/image/cover-232.jpg,232
The Chainsmokers,100% Chainsmokers,Young,Pop,None,/songs/14 - The Chainsmokers - Young.mp3,/image/cover-233.jpg,233
The Beatles,A Hard Day's Night (Remastered),Can't Buy Me Love,(17)Rock,None,/songs/14 can't buy me love.mp3,/image/cover-375.png,234
Snow Patrol,Greatest Hits,Make This Go On Forever,Alternative,None,/songs/14 Snow Patrol - Make This Go On Forever.mp3,/image/cover-235.jpg,235
Taylor Swift,Essentials,Style,Pop,Freak37,/songs/14 Style.mp3,/image/cover-236.jpg,236
Ed Sheeran,=,Be Right Now,None,PMEDIA,/songs/14. Be Right Now.mp3,/image/cover-237.jpg,237
John Mayer,Essentials,Bigger Than My Body,Rock,www.t.me/pmedia_music,/songs/14. Bigger Than My Body.mp3,/image/cover-238.jpg,238
Imagine Dragons,Origins (Deluxe),Burn Out,Alternative,Freak37,/songs/14. Burn Out.mp3,/image/cover-239.jpg,239
Snoop Dogg,BODR,Catch a Vibe (feat. HeyDeon),None,PMEDIA,/songs/14. Catch a Vibe (feat. HeyDeon).mp3,/image/cover-240.jpg,240
"Calum Scott, Tiësto",Only Human (Deluxe),Dancing On My Own (Tiësto Remix),-13,https://musicriders.blogspot.com,/songs/14. Dancing On My Own (Tiësto Remix).mp3,/image/cover-241.jpg,241
Katy Perry,Smile (Deluxe),Message from katy,Pop,Freak37,/songs/14. Message From Katy.mp3,/image/cover-242.jpg,242
Oasis,Oasis - Greatest Hits CD1,Stand By Me,None,None,/songs/14. Stand By Me.mp3,/image/cover-376.jpg,243
Nirvana,Greatest Hits,The Man Who Sold The World,Grunge,None,/songs/14.The Man Who Sold The World.mp3,/image/cover-244.jpg,244
Ed Sheeran,÷,Nancy Mulligan,None,Freak37,/songs/15 - Nancy Mulligan.mp3,/image/cover-245.jpg,245
Dua Lipa,Dua Lipa,New Love,Indie Pop / Pop,Hunter,/songs/15 - New Love.mp3,/image/cover-246.jpg,246
Frank Sinatra,Platinum Selection,She's Funny That Way,"Vocal Jazz, Pop",Freak37,/songs/15 - She's Funny That Way.mp3,/image/cover-247.jpg,247
The Chainsmokers,100% Chainsmokers,The One,Pop,None,/songs/15 - The Chainsmokers - The One.mp3,/image/cover-248.jpg,248
Coldplay,Greatest Songs,Up&Up,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/15 - Up&Up.mp3,/image/cover-249.jpg,249
The Beatles,Magical Mystery Tour (Remastered),Hello Goodbye,(17)Rock,None,/songs/15 hello goodbye.mp3,/image/cover-375.png,250
ZAYN & Taylor Swift,Essentials,I Don’t Wanna Live Forever (Fifty Shades Darker),Pop,Freak37,/songs/15 I Don’t Wanna Live Forever (Fifty Shades Darker).mp3,/image/cover-251.jpg,251
John Mayer,Essentials,Belief,Pop,www.t.me/pmedia_music,/songs/15. Belief.mp3,/image/cover-252.jpg,252
Snoop Dogg,BODR,It’s In The Air (feat. Uncle Murda & JANE HANDCOCK),None,PMEDIA,/songs/15. It’s In The Air (feat. Uncle Murda & JANE HANDCOCK).mp3,/image/cover-253.jpg,253
Imagine Dragons,Origins (Deluxe),Real Life,Alternative,Freak37,/songs/15. Real Life.mp3,/image/cover-254.jpg,254
Katy Perry,Smile (Deluxe),Small talk,Pop,Freak37,/songs/15. Small Talk.mp3,/image/cover-255.jpg,255
Dua Lipa,Dua Lipa,Bad Together,Indie Pop / Pop,Hunter,/songs/16 - Bad Together.mp3,/image/cover-256.jpg,256
Coldplay,Greatest Songs,Clocks,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/16 - Clocks.mp3,/image/cover-257.jpg,257
Ed Sheeran,÷,Save Myself,None,Freak37,/songs/16 - Save Myself.mp3,/image/cover-258.jpg,258
The Chainsmokers;Emily Warren,100% Chainsmokers,My Type,Pop,None,/songs/16 - The Chainsmokers - My Type.mp3,/image/cover-259.jpg,259
Frank Sinatra,Platinum Selection,You Make Me Feel So Young,"Vocal Jazz, Pop",Freak37,/songs/16 - You Make Me Feel So Young.mp3,/image/cover-260.jpg,260
The Beatles,Abbey Road (Remastered),Here Comes The Sun,(17)Rock,None,/songs/16 here comes the sun.mp3,/image/cover-375.png,261
Taylor Swift,Essentials,Teardrops On My Guitar (Pop Version),Pop,Freak37,/songs/16 Teardrops On My Guitar (Pop Version).mp3,/image/cover-262.jpg,262
"John Mayer, Taylor Swift",Essentials,Half of My Heart,Rock,www.t.me/pmedia_music,/songs/16. Half of My Heart.mp3,/image/cover-263.jpg,263
Katy Perry,Smile (Deluxe),Never Worn white,Pop,Freak37,/songs/16. Never Worn White.mp3,/image/cover-264.jpg,264
Snoop Dogg,BODR,We Don’t Gotta Worry No More (feat. Wiz Khalifa),None,PMEDIA,/songs/16. We Don’t Gotta Worry No More (feat. Wiz Khalifa).mp3,/image/cover-265.jpg,265
Dua Lipa,Dua Lipa,Last Dance,Indie Pop / Pop,Hunter,/songs/17 - Last Dance.mp3,/image/cover-266.jpg,266
Frank Sinatra,Platinum Selection,My Girl,"Vocal Jazz, Pop",Freak37,/songs/17 - My Girl.mp3,/image/cover-267.jpg,267
The Chainsmokers;Tritonal;Emily Warren,100% Chainsmokers,Until You Were Gone,Pop,None,/songs/17 - The Chainsmokers - Until You Were Gone.mp3,/image/cover-268.jpg,268
Coldplay,Greatest Songs,Yellow,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/17 - Yellow.mp3,/image/cover-269.jpg,269
Taylor Swift,Essentials,...Ready For It?,Pop,Freak37,/songs/17 ...Ready For It_.mp3,/image/cover-270.jpg,270
The Beatles,Help! (Remastered),Ticket To Ride,(17)Rock,None,/songs/17 ticket to ride.mp3,/image/cover-375.png,271
Katy Perry,Smile (Deluxe),Daisies,Pop,Freak37,/songs/17. Daisies (Acoustic).mp3,/image/cover-272.jpg,272
Snoop Dogg,BODR,Get This Dick (feat. Lil Duval & October London),None,PMEDIA,/songs/17. Get This Dick (feat. Lil Duval & October London).mp3,/image/cover-273.jpg,273
John Mayer,Essentials,I Guess I Just Feel Like,Pop,www.t.me/pmedia_music,/songs/17. I Guess I Just Feel Like.mp3,/image/cover-274.jpg,274
Oasis,Oasis - Greatest Hits CD2,Oasis  I'm Outta Time,None,None,/songs/17. Oasis  I'm Outta Time.mp3,/image/cover-376.jpg,275
Coldplay,Greatest Songs,Everglow,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/18 - Everglow.mp3,/image/cover-276.jpg,276
Frank Sinatra,Platinum Selection,Our love is here to stay,"Vocal Jazz, Pop",Freak37,/songs/18 - Our love is here to stay.mp3,/image/cover-277.jpg,277
The Chainsmokers,100% Chainsmokers,Honest,Pop,None,/songs/18 - The Chainsmokers - Honest.mp3,/image/cover-278.jpg,278
Taylor Swift,Essentials,Back To December,Pop,Freak37,/songs/18 Back To December.mp3,/image/cover-279.jpg,279
The Beatles,Beatles For Sale (Remastered),Eight Days A Week,(17)Rock,None,/songs/18 eight days a week.mp3,/image/cover-375.png,280
Katy Perry,Smile (Deluxe),Daisies,Pop,Freak37,/songs/18. Daisies (Oliver Heldens Remix).mp3,/image/cover-281.jpg,281
John Mayer,Essentials,Dreaming with a Broken Heart,Pop,www.t.me/pmedia_music,/songs/18. Dreaming with a Broken Heart.mp3,/image/cover-282.jpg,282
Snoop Dogg,BODR,Snoopy Don’t Go (feat. October London),None,PMEDIA,/songs/18. Snoopy Don’t Go (feat. October London).mp3,/image/cover-283.jpg,283
Frank Sinatra,Platinum Selection,Bim Bam Baby,"Vocal Jazz, Pop",Freak37,/songs/19 - Bim Bam Baby.mp3,/image/cover-284.jpg,284
Coldplay,Greatest Songs,Every Teardrop Is A Waterfall,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/19 - Every Teardrop Is A Waterfall.mp3,/image/cover-285.jpg,285
The Chainsmokers;Louane,100% Chainsmokers,It Won't Kill Ya,Pop,None,/songs/19 - The Chainsmokers - It Won't Kill Ya.mp3,/image/cover-286.jpg,286
The Beatles,Please Please Me (Remastered),Love Me Do,(17)Rock,None,/songs/19 love me do.mp3,/image/cover-375.png,287
Taylor Swift,Essentials,Mine,Pop,Freak37,/songs/19 Mine.mp3,/image/cover-288.jpg,288
Katy Perry,Smile (Deluxe),Smile,Pop,Freak37,/songs/19. Smile (feat. Diddy) [Bonus Track].mp3,/image/cover-289.jpg,289
John Mayer,Essentials,Who Says,Rock,www.t.me/pmedia_music,/songs/19. Who Says.mp3,/image/cover-290.jpg,290
The Chainsmokers;Nghtmre,100% Chainsmokers,Save Yourself,Pop,None,/songs/2 - The Chainsmokers - Save Yourself.mp3,/image/cover-291.jpg,291
Taylor Swift,Essentials,Blank Space,Pop,Freak37,/songs/2 Blank Space.mp3,/image/cover-292.jpg,292
Katy Perry,Smile (Deluxe),Cry about it later,Pop,Freak37,/songs/2. Cry About It Later.mp3,/image/cover-293.jpg,293
Calum Scott,Only Human (Deluxe),Give Me Something,-13,https://musicriders.blogspot.com,/songs/2. Give Me Something.mp3,/image/cover-294.jpg,294
Frank Sinatra,Platinum Selection,High Hopes,"Vocal Jazz, Pop",Freak37,/songs/20 - High Hopes.mp3,/image/cover-295.jpg,295
Coldplay,Greatest Songs,Speed Of Sound,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/20 - Speed Of Sound.mp3,/image/cover-296.jpg,296
The Chainsmokers;Emily Warren,100% Chainsmokers,Don't Say,Pop,None,/songs/20 - The Chainsmokers - Don't Say.mp3,/image/cover-297.jpg,297
Taylor Swift,Essentials,Everything Has Changed (feat. Ed Sheeran),Pop,Freak37,/songs/20 Everything Has Changed (feat. Ed Sheeran).mp3,/image/cover-298.jpg,298
The Beatles,Magical Mystery Tour (Remastered),Strawberry Fields Forever,(17)Rock,None,/songs/20 strawberry fields forever.mp3,/image/cover-375.png,299
John Mayer,Essentials,Born and Raised,Rock,www.t.me/pmedia_music,/songs/20. Born and Raised.mp3,/image/cover-300.jpg,300
The Chainsmokers,100% Chainsmokers,Bloodstream,Pop,None,/songs/21 - The Chainsmokers - Bloodstream.mp3,/image/cover-301.jpg,301
Taylor Swift,Essentials,Our Song,Pop,Freak37,/songs/21 Our Song.mp3,/image/cover-302.jpg,302
The Beatles,Please Please Me (Remastered),P.S. I Love You,(17)Rock,None,/songs/21 p.s i love you.mp3,/image/cover-375.png,303
John Mayer,Essentials,Wildfire,Rock,www.t.me/pmedia_music,/songs/21. Wildfire.mp3,/image/cover-304.jpg,304
The Chainsmokers,100% Chainsmokers,Break Up Every Night,Pop,None,/songs/22 - The Chainsmokers - Break Up Every Night.mp3,/image/cover-305.jpg,305
Taylor Swift,Essentials,22,Pop,Freak37,/songs/22 22.mp3,/image/cover-306.jpg,306
The Beatles,Magical Mystery Tour (Remastered),Penny Lane,(17)Rock,None,/songs/22 penny lane.mp3,/image/cover-375.png,307
John Mayer,Essentials,Stop This Train,Pop,www.t.me/pmedia_music,/songs/22. Stop This Train.mp3,/image/cover-308.jpg,308
The Chainsmokers;Charlee,100% Chainsmokers,Inside Out,Pop,None,/songs/23 - The Chainsmokers - Inside Out.mp3,/image/cover-309.jpg,309
Taylor Swift,Essentials,Fifteen,Pop,Freak37,/songs/23 Fifteen.mp3,/image/cover-310.jpg,310
The Beatles,Let It Be (Remastered),Get Back,(17)Rock,None,/songs/23 get back.mp3,/image/cover-375.png,311
John Mayer,Essentials,Carry Me Away,Pop,www.t.me/pmedia_music,/songs/23. Carry Me Away.mp3,/image/cover-312.jpg,312
The Chainsmokers;Great Good Fine OK,100% Chainsmokers,Let You Go (Radio Edit),Pop,None,/songs/24 - The Chainsmokers - Let You Go (Radio Edit).mp3,/image/cover-313.jpg,313
The Beatles,A Hard Day's Night (Remastered),I'll Be Back,(17)Rock,None,/songs/24 i'll be back.mp3,/image/cover-375.png,314
Taylor Swift,Essentials,Sparks Fly,Pop,Freak37,/songs/24 Sparks Fly.mp3,/image/cover-315.jpg,315
John Mayer,Essentials,Something Like Olivia (Album Version),Rock,www.t.me/pmedia_music,/songs/24. Something Like Olivia (Album Version).mp3,/image/cover-316.jpg,316
The Chainsmokers;Jhené Aiko,100% Chainsmokers,Wake Up Alone,Pop,None,/songs/25 - The Chainsmokers - Wake Up Alone.mp3,/image/cover-317.jpg,317
Taylor Swift,Essentials,Picture To Burn,Pop,Freak37,/songs/25 Picture To Burn.mp3,/image/cover-318.jpg,318
The Beatles,Abbey Road (Remastered),She Came In Through The Bathroom Window,(17)Rock,None,/songs/25 she came through the bathroom window.mp3,/image/cover-375.png,319
John Mayer,Essentials,Paper Doll,Rock,www.t.me/pmedia_music,/songs/25. Paper Doll.mp3,/image/cover-320.jpg,320
The Chainsmokers;XYLØ,100% Chainsmokers,Setting Fires,Pop,None,/songs/26 - The Chainsmokers - Setting Fires.mp3,/image/cover-321.jpg,321
Tim McGraw,Essentials,Highway Don't Care (feat. Taylor Swift & Keith Urban),Pop,Freak37,/songs/26 Highway Don't Care (feat. Taylor Swift & Keith Urban).mp3,/image/cover-322.jpg,322
The Beatles,Help! (Remastered),Yesterday,(17)Rock,None,/songs/26 yesterday.mp3,/image/cover-375.png,323
The Chainsmokers,100% Chainsmokers,New York City,Pop,None,/songs/27 - The Chainsmokers - New York City.mp3,/image/cover-324.jpg,324
The Beatles,Abbey Road (Remastered),Golden Slumbers,(17)Rock,None,/songs/27 golden slumbers.mp3,/image/cover-375.png,325
Taylor Swift,Essentials,Red,Pop,Freak37,/songs/27 Red.mp3,/image/cover-326.jpg,326
The Chainsmokers;Waterbed,100% Chainsmokers,Waterbed,Pop,None,/songs/28 - The Chainsmokers - Waterbed.mp3,/image/cover-327.jpg,327
The Beatles,The Beatles (The White Album) (Remastered),"Ob-La-Di, Ob-La-Da",(17)Rock,None,/songs/28 ob la di ob la da.mp3,/image/cover-375.png,328
Taylor Swift,Essentials,White Horse,Pop,Freak37,/songs/28 White Horse.mp3,/image/cover-329.jpg,329
The Chainsmokers;sirenXX,100% Chainsmokers,Kanye,Pop,None,/songs/29 - The Chainsmokers - Kanye.mp3,/image/cover-330.jpg,330
Taylor Swift,Essentials,Begin Again,Pop,Freak37,/songs/29 Begin Again.mp3,/image/cover-331.jpg,331
The Beatles,Past Masters (Remastered),I Want To Hold Your Hand,(17)Rock,None,/songs/29 i wanna hold your hand.mp3,/image/cover-375.png,332
The Chainsmokers;Drew Love,100% Chainsmokers,Somebody,Pop,None,/songs/3 - The Chainsmokers - Somebody.mp3,/image/cover-333.jpg,333
Taylor Swift,Essentials,Shake It Off,Pop,Freak37,/songs/3 Shake It Off.mp3,/image/cover-334.jpg,334
Calum Scott,Only Human (Deluxe),Rhythm Inside,-13,https://musicriders.blogspot.com,/songs/3. Rhythm Inside.mp3,/image/cover-335.jpg,335
Katy Perry,Smile (Deluxe),Teary eyes,Pop,Freak37,/songs/3. Teary Eyes.mp3,/image/cover-336.jpg,336
The Chainsmokers;Florida Georgia Line,100% Chainsmokers,Last Day Alive,Pop,None,/songs/30 - The Chainsmokers - Last Day Alive.mp3,/image/cover-337.jpg,337
Taylor Swift,Essentials,Out Of The Woods,Pop,Freak37,/songs/30 Out Of The Woods.mp3,/image/cover-338.jpg,338
The Beatles,The Beatles (The White Album) (Remastered),While My Guitar Gently Weeps,(17)Rock,None,/songs/30 while my guitar gently weeps.mp3,/image/cover-375.png,339
The Beatles,Past Masters (Remastered),Long Tall Sally,(17)Rock,None,/songs/31 long tall sally.mp3,/image/cover-375.png,340
The Beatles,Past Masters (Remastered),Lady Madonna,(17)Rock,None,/songs/32 lady madonna.mp3,/image/cover-375.png,341
The Beatles,Past Masters (Remastered),Hey Jude,(17)Rock,None,/songs/33 hey jude.mp3,/image/cover-375.png,342
The Beatles,Past Masters (Remastered),Revolution,(17)Rock,None,/songs/34 revolution.mp3,/image/cover-375.png,343
The Beatles,Past Masters (Remastered),Don't Let Me Down,(17)Rock,None,/songs/35 don't let me down.mp3,/image/cover-375.png,344
The Beatles,Past Masters (Remastered),The Ballad Of John And Yoko,(17)Rock,None,/songs/36 the ballad of john and yoko.mp3,/image/cover-375.png,345
The Beatles,Past Masters (Remastered),Let It Be,(17)Rock,None,/songs/37 let it be.mp3,/image/cover-375.png,346
The Beatles,Sgt. Peppers Lonely Hearts Club Band (Remastered),Sgt. Pepper's Lonely Hearts Club Band,(17)Rock,None,/songs/38 sgt. peppers lonely hearts club band.mp3,/image/cover-375.png,347
The Beatles,Sgt. Peppers Lonely Hearts Club Band (Remastered),With A Little Help From My Friends,(17)Rock,None,/songs/39 with a little help from my friends.mp3,/image/cover-375.png,348
The Chainsmokers;Halsey,100% Chainsmokers,Closer,Pop,None,/songs/4 - The Chainsmokers - Closer.mp3,/image/cover-349.jpg,349
Taylor Swift,Essentials,Call It What You Want,Pop,Freak37,/songs/4 Call It What You Want.mp3,/image/cover-350.jpg,350
Katy Perry,Smile (Deluxe),Daisies,Pop,Freak37,/songs/4. Daisies.mp3,/image/cover-351.jpg,351
"Calum Scott, Dawn Connie Morton-Young, Isaac Opoku-Kyerematen, Jayando Cole, Keshia Smith, Kwaku Agyemang, Nathan J Gardner, Rebecca Thomas, Shola Graham, Simone Brown",Only Human (Deluxe),You Are The Reason,-13,https://musicriders.blogspot.com,/songs/4. You Are The Reason.mp3,/image/cover-352.jpg,352
The Beatles,Sgt. Peppers Lonely Hearts Club Band (Remastered),Sgt Pepper's Lonely Hearts Club Band (Reprise),(17)Rock,None,/songs/40 sgt peppers lonely hearts club band (reprise).mp3,/image/cover-375.png,353
The Beatles,Sgt. Peppers Lonely Hearts Club Band (Remastered),A Day In The Life,(17)Rock,None,/songs/41 a day in the life.mp3,/image/cover-375.png,354
The Chainsmokers;Coldplay,100% Chainsmokers,Something Just Like This,Pop,None,/songs/5 - The Chainsmokers - Something Just Like This.mp3,/image/cover-355.jpg,355
Taylor Swift,Essentials,I Knew You Were Trouble,Pop,Freak37,/songs/5 I Knew You Were Trouble..mp3,/image/cover-356.jpg,356
Calum Scott,Only Human (Deluxe),Come Back Home,-13,https://musicriders.blogspot.com,/songs/5. Come Back Home.mp3,/image/cover-357.jpg,357
Katy Perry,Smile (Deluxe),Resilient,Pop,Freak37,/songs/5. Resilient.mp3,/image/cover-358.jpg,358
The Chainsmokers;Daya,100% Chainsmokers,Don't Let Me Down,Pop,None,/songs/6 - The Chainsmokers - Don't Let Me Down.mp3,/image/cover-359.jpg,359
Taylor Swift,Essentials,End Game,Pop,Freak37,/songs/6 End Game (feat. Ed Sheeran & Future).mp3,/image/cover-360.jpg,360
Katy Perry,Smile (Deluxe),Not the end of the world,Pop,Freak37,/songs/6. Not the End of the World.mp3,/image/cover-361.jpg,361
Calum Scott,Only Human (Deluxe),Stop Myself (Only Human),-13,https://musicriders.blogspot.com,/songs/6. Stop Myself (Only Human).mp3,/image/cover-362.jpg,362
The Chainsmokers,100% Chainsmokers,Paris,Pop,None,/songs/7 - The Chainsmokers - Paris.mp3,/image/cover-363.jpg,363
Taylor Swift,Essentials,You Belong With Me,Pop,Freak37,/songs/7 You Belong With Me.mp3,/image/cover-364.jpg,364
Calum Scott,Only Human (Deluxe),Dancing On My Own,-13,https://musicriders.blogspot.com,/songs/7. Dancing On My Own.mp3,/image/cover-365.jpg,365
Katy Perry,Smile (Deluxe),Smile,Pop,Freak37,/songs/7. Smile.mp3,/image/cover-366.jpg,366
Tiësto;The Chainsmokers,100% Chainsmokers,Split (Only U),Pop,None,/songs/8 - Tiësto - Split (Only U).mp3,/image/cover-367.jpg,367
Taylor Swift,Essentials,Love Story,Pop,Freak37,/songs/8 Love Story.mp3,/image/cover-368.jpg,368
Katy Perry,Smile (Deluxe),Champagne Problems,Pop,Freak37,/songs/8. Champagne Problems.mp3,/image/cover-369.jpg,369
Calum Scott,Only Human (Deluxe),Only You,-13,https://musicriders.blogspot.com,/songs/8. Only You.mp3,/image/cover-370.jpg,370
The Chainsmokers,100% Chainsmokers,Sick Boy,Pop,None,/songs/9 - The Chainsmokers - Sick Boy.mp3,/image/cover-371.jpg,371
Taylor Swift,Essentials,Look What You Made Me Do,Pop,Freak37,/songs/9 Look What You Made Me Do.mp3,/image/cover-372.jpg,372
Katy Perry,Smile (Deluxe),Tucked,Pop,Freak37,/songs/9. Tucked.mp3,/image/cover-373.jpg,373
"Calum Scott, Dawn Connie Morton-Young, Isaac Opoku-Kyerematen, Jayando Cole, Keshia Smith, Kwaku Agyemang, Nathan J Gardner, Rebecca Thomas, Shola Graham, Simone Brown",Only Human (Deluxe),Won’t Let You Down,-13,https://musicriders.blogspot.com,/songs/9. Won’t Let You Down.mp3,/image/cover-374.jpg,374
"{'k', 'n', 'r', ' ', 'i', 's', 'a', 'f', 't'}",None,Come Fly With Me,None,None,songs/01 - Come Fly With Me.mp3,images/Come Fly With Me-cover.jpg,375
SickKick,None,Infected,None,None,/songs/Infected_320(PagalWorld).mp3,/image/Infected-cover.jpg,376
