Artist,Album,Title,Genre,Comments,music_folder,image_folder
Imagine Dragons,Origins (Deluxe),Birds,Alternative,Freak37,/songs/13. Birds.mp3,/image/cover-219.jpg
Oasis,Oasis - Greatest Hits CD1,D'You Know What I Mean,,,/songs/13. D'You Know What I Mean.mp3,
Camila Cabello,Romance,First Man,Pop,Freak37,/songs/13. First Man.mp3,/image/cover-221.jpg
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/13. High On Your Supply.mp3,/image/cover-222.jpg
Calum Scott,Only Human (Deluxe),Not Dark Yet,(13),https://musicriders.blogspot.com,/songs/13. Not Dark Yet.mp3,/image/cover-223.jpg
,Oasis - Greatest Hits CD2,Oasis  Let There Be Love,,,/songs/13. Oasis  Let There Be Love.mp3,
Snoop Dogg,BODR,Pop Pop (feat. DaBaby),,PMEDIA,/songs/13. Pop Pop (feat. DaBaby).mp3,/image/cover-225.jpg
Ed Sheeran,=,Sandman,,PMEDIA,/songs/13. Sandman.mp3,/image/cover-226.jpg
John Mayer,Essentials,XO,"Alternative, Pop, Singer & Songwriter",www.t.me/pmedia_music,/songs/13. XO.mp3,/image/cover-227.jpg
Nirvana,Greatest Hits,All Apologies,Grunge,,/songs/13.All Apologies.mp3,/image/cover-228.jpg
Ed Sheeran,÷,Bibia Be Ye Ye,,Freak37,/songs/14 - Bibia Be Ye Ye.mp3,/image/cover-229.jpg
Coldplay,Greatest Songs,Fix You,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/14 - Fix You.mp3,/image/cover-230.jpg
Frank Sinatra,Platinum Selection,In The Wee Small Hours,"Vocal Jazz, Pop",Freak37,/songs/14 - In The Wee Small Hours.mp3,/image/cover-231.jpg
Dua Lipa,Dua Lipa,Room For 2,Indie Pop / Pop,Hunter,/songs/14 - Room For 2.mp3,/image/cover-232.jpg
The Chainsmokers,100% Chainsmokers,Young,Pop,,/songs/14 - The Chainsmokers - Young.mp3,/image/cover-233.jpg
The Beatles,A Hard Day's Night (Remastered),Can't Buy Me Love,(17)Rock,,/songs/14 can't buy me love.mp3,
Snow Patrol,Greatest Hits,Make This Go On Forever,Alternative,,/songs/14 Snow Patrol - Make This Go On Forever.mp3,/image/cover-235.jpg
Taylor Swift,Essentials,Style,Pop,Freak37,/songs/14 Style.mp3,/image/cover-236.jpg
Ed Sheeran,=,Be Right Now,,PMEDIA,/songs/14. Be Right Now.mp3,/image/cover-237.jpg
John Mayer,Essentials,Bigger Than My Body,Rock,www.t.me/pmedia_music,/songs/14. Bigger Than My Body.mp3,/image/cover-238.jpg
Imagine Dragons,Origins (Deluxe),Burn Out,Alternative,Freak37,/songs/14. Burn Out.mp3,/image/cover-239.jpg
Snoop Dogg,BODR,Catch a Vibe (feat. HeyDeon),,PMEDIA,/songs/14. Catch a Vibe (feat. HeyDeon).mp3,/image/cover-240.jpg
"Calum Scott, Tiësto",Only Human (Deluxe),Dancing On My Own (Tiësto Remix),(13),https://musicriders.blogspot.com,/songs/14. Dancing On My Own (Tiësto Remix).mp3,/image/cover-241.jpg
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/14. Message From Katy.mp3,/image/cover-242.jpg
Oasis,Oasis - Greatest Hits CD1,Stand By Me,,,/songs/14. Stand By Me.mp3,
Nirvana,Greatest Hits,The Man Who Sold The World,Grunge,,/songs/14.The Man Who Sold The World.mp3,/image/cover-244.jpg
Ed Sheeran,÷,Nancy Mulligan,,Freak37,/songs/15 - Nancy Mulligan.mp3,/image/cover-245.jpg
Dua Lipa,Dua Lipa,New Love,Indie Pop / Pop,Hunter,/songs/15 - New Love.mp3,/image/cover-246.jpg
Frank Sinatra,Platinum Selection,She's Funny That Way,"Vocal Jazz, Pop",Freak37,/songs/15 - She's Funny That Way.mp3,/image/cover-247.jpg
The Chainsmokers,100% Chainsmokers,The One,Pop,,/songs/15 - The Chainsmokers - The One.mp3,/image/cover-248.jpg
Coldplay,Greatest Songs,Up&Up,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/15 - Up&Up.mp3,/image/cover-249.jpg
The Beatles,Magical Mystery Tour (Remastered),Hello Goodbye,(17)Rock,,/songs/15 hello goodbye.mp3,
ZAYN & Taylor Swift,Essentials,I Don’t Wanna Live Forever (Fifty Shades Darker),Pop,Freak37,/songs/15 I Don’t Wanna Live Forever (Fifty Shades Darker).mp3,/image/cover-251.jpg
John Mayer,Essentials,Belief,Pop,www.t.me/pmedia_music,/songs/15. Belief.mp3,/image/cover-252.jpg
Snoop Dogg,BODR,It’s In The Air (feat. Uncle Murda & JANE HANDCOCK),,PMEDIA,/songs/15. It’s In The Air (feat. Uncle Murda & JANE HANDCOCK).mp3,/image/cover-253.jpg
Imagine Dragons,Origins (Deluxe),Real Life,Alternative,Freak37,/songs/15. Real Life.mp3,/image/cover-254.jpg
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/15. Small Talk.mp3,/image/cover-255.jpg
Dua Lipa,Dua Lipa,Bad Together,Indie Pop / Pop,Hunter,/songs/16 - Bad Together.mp3,/image/cover-256.jpg
Coldplay,Greatest Songs,Clocks,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/16 - Clocks.mp3,/image/cover-257.jpg
Ed Sheeran,÷,Save Myself,,Freak37,/songs/16 - Save Myself.mp3,/image/cover-258.jpg
The Chainsmokers;Emily Warren,100% Chainsmokers,My Type,Pop,,/songs/16 - The Chainsmokers - My Type.mp3,/image/cover-259.jpg
Frank Sinatra,Platinum Selection,You Make Me Feel So Young,"Vocal Jazz, Pop",Freak37,/songs/16 - You Make Me Feel So Young.mp3,/image/cover-260.jpg
The Beatles,Abbey Road (Remastered),Here Comes The Sun,(17)Rock,,/songs/16 here comes the sun.mp3,
Taylor Swift,Essentials,Teardrops On My Guitar (Pop Version),Pop,Freak37,/songs/16 Teardrops On My Guitar (Pop Version).mp3,/image/cover-262.jpg
"John Mayer, Taylor Swift",Essentials,Half of My Heart,Rock,www.t.me/pmedia_music,/songs/16. Half of My Heart.mp3,/image/cover-263.jpg
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/16. Never Worn White.mp3,/image/cover-264.jpg
Snoop Dogg,BODR,We Don’t Gotta Worry No More (feat. Wiz Khalifa),,PMEDIA,/songs/16. We Don’t Gotta Worry No More (feat. Wiz Khalifa).mp3,/image/cover-265.jpg
Dua Lipa,Dua Lipa,Last Dance,Indie Pop / Pop,Hunter,/songs/17 - Last Dance.mp3,/image/cover-266.jpg
Frank Sinatra,Platinum Selection,My Girl,"Vocal Jazz, Pop",Freak37,/songs/17 - My Girl.mp3,/image/cover-267.jpg
The Chainsmokers;Tritonal;Emily Warren,100% Chainsmokers,Until You Were Gone,Pop,,/songs/17 - The Chainsmokers - Until You Were Gone.mp3,/image/cover-268.jpg
Coldplay,Greatest Songs,Yellow,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/17 - Yellow.mp3,/image/cover-269.jpg
Taylor Swift,Essentials,...Ready For It?,Pop,Freak37,/songs/17 ...Ready For It_.mp3,/image/cover-270.jpg
The Beatles,Help! (Remastered),Ticket To Ride,(17)Rock,,/songs/17 ticket to ride.mp3,
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/17. Daisies (Acoustic).mp3,/image/cover-272.jpg
Snoop Dogg,BODR,Get This Dick (feat. Lil Duval & October London),,PMEDIA,/songs/17. Get This Dick (feat. Lil Duval & October London).mp3,/image/cover-273.jpg
John Mayer,Essentials,I Guess I Just Feel Like,Pop,www.t.me/pmedia_music,/songs/17. I Guess I Just Feel Like.mp3,/image/cover-274.jpg
,Oasis - Greatest Hits CD2,Oasis  I'm Outta Time,,,/songs/17. Oasis  I'm Outta Time.mp3,
Coldplay,Greatest Songs,Everglow,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/18 - Everglow.mp3,/image/cover-276.jpg
Frank Sinatra,Platinum Selection,Our love is here to stay,"Vocal Jazz, Pop",Freak37,/songs/18 - Our love is here to stay.mp3,/image/cover-277.jpg
The Chainsmokers,100% Chainsmokers,Honest,Pop,,/songs/18 - The Chainsmokers - Honest.mp3,/image/cover-278.jpg
Taylor Swift,Essentials,Back To December,Pop,Freak37,/songs/18 Back To December.mp3,/image/cover-279.jpg
The Beatles,Beatles For Sale (Remastered),Eight Days A Week,(17)Rock,,/songs/18 eight days a week.mp3,
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/18. Daisies (Oliver Heldens Remix).mp3,/image/cover-281.jpg
John Mayer,Essentials,Dreaming with a Broken Heart,Pop,www.t.me/pmedia_music,/songs/18. Dreaming with a Broken Heart.mp3,/image/cover-282.jpg
Snoop Dogg,BODR,Snoopy Don’t Go (feat. October London),,PMEDIA,/songs/18. Snoopy Don’t Go (feat. October London).mp3,/image/cover-283.jpg
Frank Sinatra,Platinum Selection,Bim Bam Baby,"Vocal Jazz, Pop",Freak37,/songs/19 - Bim Bam Baby.mp3,/image/cover-284.jpg
Coldplay,Greatest Songs,Every Teardrop Is A Waterfall,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/19 - Every Teardrop Is A Waterfall.mp3,/image/cover-285.jpg
The Chainsmokers;Louane,100% Chainsmokers,It Won't Kill Ya,Pop,,/songs/19 - The Chainsmokers - It Won't Kill Ya.mp3,/image/cover-286.jpg
The Beatles,Please Please Me (Remastered),Love Me Do,(17)Rock,,/songs/19 love me do.mp3,
Taylor Swift,Essentials,Mine,Pop,Freak37,/songs/19 Mine.mp3,/image/cover-288.jpg
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/19. Smile (feat. Diddy) [Bonus Track].mp3,/image/cover-289.jpg
John Mayer,Essentials,Who Says,Rock,www.t.me/pmedia_music,/songs/19. Who Says.mp3,/image/cover-290.jpg
The Chainsmokers;Nghtmre,100% Chainsmokers,Save Yourself,Pop,,/songs/2 - The Chainsmokers - Save Yourself.mp3,/image/cover-291.jpg
Taylor Swift,Essentials,Blank Space,Pop,Freak37,/songs/2 Blank Space.mp3,/image/cover-292.jpg
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/2. Cry About It Later.mp3,/image/cover-293.jpg
Calum Scott,Only Human (Deluxe),Give Me Something,(13),https://musicriders.blogspot.com,/songs/2. Give Me Something.mp3,/image/cover-294.jpg
Frank Sinatra,Platinum Selection,High Hopes,"Vocal Jazz, Pop",Freak37,/songs/20 - High Hopes.mp3,/image/cover-295.jpg
Coldplay,Greatest Songs,Speed Of Sound,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/20 - Speed Of Sound.mp3,/image/cover-296.jpg
The Chainsmokers;Emily Warren,100% Chainsmokers,Don't Say,Pop,,/songs/20 - The Chainsmokers - Don't Say.mp3,/image/cover-297.jpg
Taylor Swift,Essentials,Everything Has Changed (feat. Ed Sheeran),Pop,Freak37,/songs/20 Everything Has Changed (feat. Ed Sheeran).mp3,/image/cover-298.jpg
The Beatles,Magical Mystery Tour (Remastered),Strawberry Fields Forever,(17)Rock,,/songs/20 strawberry fields forever.mp3,
John Mayer,Essentials,Born and Raised,Rock,www.t.me/pmedia_music,/songs/20. Born and Raised.mp3,/image/cover-300.jpg
The Chainsmokers,100% Chainsmokers,Bloodstream,Pop,,/songs/21 - The Chainsmokers - Bloodstream.mp3,/image/cover-301.jpg
Taylor Swift,Essentials,Our Song,Pop,Freak37,/songs/21 Our Song.mp3,/image/cover-302.jpg
The Beatles,Please Please Me (Remastered),P.S. I Love You,(17)Rock,,/songs/21 p.s i love you.mp3,
John Mayer,Essentials,Wildfire,Rock,www.t.me/pmedia_music,/songs/21. Wildfire.mp3,/image/cover-304.jpg
The Chainsmokers,100% Chainsmokers,Break Up Every Night,Pop,,/songs/22 - The Chainsmokers - Break Up Every Night.mp3,/image/cover-305.jpg
Taylor Swift,Essentials,22,Pop,Freak37,/songs/22 22.mp3,/image/cover-306.jpg
The Beatles,Magical Mystery Tour (Remastered),Penny Lane,(17)Rock,,/songs/22 penny lane.mp3,
John Mayer,Essentials,Stop This Train,Pop,www.t.me/pmedia_music,/songs/22. Stop This Train.mp3,/image/cover-308.jpg
The Chainsmokers;Charlee,100% Chainsmokers,Inside Out,Pop,,/songs/23 - The Chainsmokers - Inside Out.mp3,/image/cover-309.jpg
Taylor Swift,Essentials,Fifteen,Pop,Freak37,/songs/23 Fifteen.mp3,/image/cover-310.jpg
The Beatles,Let It Be (Remastered),Get Back,(17)Rock,,/songs/23 get back.mp3,
John Mayer,Essentials,Carry Me Away,Pop,www.t.me/pmedia_music,/songs/23. Carry Me Away.mp3,/image/cover-312.jpg
The Chainsmokers;Great Good Fine OK,100% Chainsmokers,Let You Go (Radio Edit),Pop,,/songs/24 - The Chainsmokers - Let You Go (Radio Edit).mp3,/image/cover-313.jpg
The Beatles,A Hard Day's Night (Remastered),I'll Be Back,(17)Rock,,/songs/24 i'll be back.mp3,
Taylor Swift,Essentials,Sparks Fly,Pop,Freak37,/songs/24 Sparks Fly.mp3,/image/cover-315.jpg
John Mayer,Essentials,Something Like Olivia (Album Version),Rock,www.t.me/pmedia_music,/songs/24. Something Like Olivia (Album Version).mp3,/image/cover-316.jpg
The Chainsmokers;Jhené Aiko,100% Chainsmokers,Wake Up Alone,Pop,,/songs/25 - The Chainsmokers - Wake Up Alone.mp3,/image/cover-317.jpg
Taylor Swift,Essentials,Picture To Burn,Pop,Freak37,/songs/25 Picture To Burn.mp3,/image/cover-318.jpg
The Beatles,Abbey Road (Remastered),She Came In Through The Bathroom Window,(17)Rock,,/songs/25 she came through the bathroom window.mp3,
John Mayer,Essentials,Paper Doll,Rock,www.t.me/pmedia_music,/songs/25. Paper Doll.mp3,/image/cover-320.jpg
The Chainsmokers;XYLØ,100% Chainsmokers,Setting Fires,Pop,,/songs/26 - The Chainsmokers - Setting Fires.mp3,/image/cover-321.jpg
Tim McGraw,Essentials,Highway Don't Care (feat. Taylor Swift & Keith Urban),Pop,Freak37,/songs/26 Highway Don't Care (feat. Taylor Swift & Keith Urban).mp3,/image/cover-322.jpg
The Beatles,Help! (Remastered),Yesterday,(17)Rock,,/songs/26 yesterday.mp3,
The Chainsmokers,100% Chainsmokers,New York City,Pop,,/songs/27 - The Chainsmokers - New York City.mp3,/image/cover-324.jpg
The Beatles,Abbey Road (Remastered),Golden Slumbers,(17)Rock,,/songs/27 golden slumbers.mp3,
Taylor Swift,Essentials,Red,Pop,Freak37,/songs/27 Red.mp3,/image/cover-326.jpg
The Chainsmokers;Waterbed,100% Chainsmokers,Waterbed,Pop,,/songs/28 - The Chainsmokers - Waterbed.mp3,/image/cover-327.jpg
The Beatles,The Beatles (The White Album) (Remastered),"Ob-La-Di, Ob-La-Da",(17)Rock,,/songs/28 ob la di ob la da.mp3,
Taylor Swift,Essentials,White Horse,Pop,Freak37,/songs/28 White Horse.mp3,/image/cover-329.jpg
The Chainsmokers;sirenXX,100% Chainsmokers,Kanye,Pop,,/songs/29 - The Chainsmokers - Kanye.mp3,/image/cover-330.jpg
Taylor Swift,Essentials,Begin Again,Pop,Freak37,/songs/29 Begin Again.mp3,/image/cover-331.jpg
The Beatles,Past Masters (Remastered),I Want To Hold Your Hand,(17)Rock,,/songs/29 i wanna hold your hand.mp3,
The Chainsmokers;Drew Love,100% Chainsmokers,Somebody,Pop,,/songs/3 - The Chainsmokers - Somebody.mp3,/image/cover-333.jpg
Taylor Swift,Essentials,Shake It Off,Pop,Freak37,/songs/3 Shake It Off.mp3,/image/cover-334.jpg
Calum Scott,Only Human (Deluxe),Rhythm Inside,(13),https://musicriders.blogspot.com,/songs/3. Rhythm Inside.mp3,/image/cover-335.jpg
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/3. Teary Eyes.mp3,/image/cover-336.jpg
The Chainsmokers;Florida Georgia Line,100% Chainsmokers,Last Day Alive,Pop,,/songs/30 - The Chainsmokers - Last Day Alive.mp3,/image/cover-337.jpg
Taylor Swift,Essentials,Out Of The Woods,Pop,Freak37,/songs/30 Out Of The Woods.mp3,/image/cover-338.jpg
The Beatles,The Beatles (The White Album) (Remastered),While My Guitar Gently Weeps,(17)Rock,,/songs/30 while my guitar gently weeps.mp3,
The Beatles,Past Masters (Remastered),Long Tall Sally,(17)Rock,,/songs/31 long tall sally.mp3,
The Beatles,Past Masters (Remastered),Lady Madonna,(17)Rock,,/songs/32 lady madonna.mp3,
The Beatles,Past Masters (Remastered),Hey Jude,(17)Rock,,/songs/33 hey jude.mp3,
The Beatles,Past Masters (Remastered),Revolution,(17)Rock,,/songs/34 revolution.mp3,
The Beatles,Past Masters (Remastered),Don't Let Me Down,(17)Rock,,/songs/35 don't let me down.mp3,
The Beatles,Past Masters (Remastered),The Ballad Of John And Yoko,(17)Rock,,/songs/36 the ballad of john and yoko.mp3,
The Beatles,Past Masters (Remastered),Let It Be,(17)Rock,,/songs/37 let it be.mp3,
The Beatles,Sgt. Peppers Lonely Hearts Club Band (Remastered),Sgt. Pepper's Lonely Hearts Club Band,(17)Rock,,/songs/38 sgt. peppers lonely hearts club band.mp3,
The Beatles,Sgt. Peppers Lonely Hearts Club Band (Remastered),With A Little Help From My Friends,(17)Rock,,/songs/39 with a little help from my friends.mp3,
The Chainsmokers;Halsey,100% Chainsmokers,Closer,Pop,,/songs/4 - The Chainsmokers - Closer.mp3,/image/cover-349.jpg
Taylor Swift,Essentials,Call It What You Want,Pop,Freak37,/songs/4 Call It What You Want.mp3,/image/cover-350.jpg
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/4. Daisies.mp3,/image/cover-351.jpg
"Calum Scott, Dawn Connie Morton-Young, Isaac Opoku-Kyerematen, Jayando Cole, Keshia Smith, Kwaku Agyemang, Nathan J Gardner, Rebecca Thomas, Shola Graham, Simone Brown",Only Human (Deluxe),You Are The Reason,(13),https://musicriders.blogspot.com,/songs/4. You Are The Reason.mp3,/image/cover-352.jpg
The Beatles,Sgt. Peppers Lonely Hearts Club Band (Remastered),Sgt Pepper's Lonely Hearts Club Band (Reprise),(17)Rock,,/songs/40 sgt peppers lonely hearts club band (reprise).mp3,
The Beatles,Sgt. Peppers Lonely Hearts Club Band (Remastered),A Day In The Life,(17)Rock,,/songs/41 a day in the life.mp3,
The Chainsmokers;Coldplay,100% Chainsmokers,Something Just Like This,Pop,,/songs/5 - The Chainsmokers - Something Just Like This.mp3,/image/cover-355.jpg
Taylor Swift,Essentials,I Knew You Were Trouble,Pop,Freak37,/songs/5 I Knew You Were Trouble..mp3,/image/cover-356.jpg
Calum Scott,Only Human (Deluxe),Come Back Home,(13),https://musicriders.blogspot.com,/songs/5. Come Back Home.mp3,/image/cover-357.jpg
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/5. Resilient.mp3,/image/cover-358.jpg
The Chainsmokers;Daya,100% Chainsmokers,Don't Let Me Down,Pop,,/songs/6 - The Chainsmokers - Don't Let Me Down.mp3,/image/cover-359.jpg
Taylor Swift,Essentials,End Game,Pop,Freak37,/songs/6 End Game (feat. Ed Sheeran & Future).mp3,/image/cover-360.jpg
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/6. Not the End of the World.mp3,/image/cover-361.jpg
Calum Scott,Only Human (Deluxe),Stop Myself (Only Human),(13),https://musicriders.blogspot.com,/songs/6. Stop Myself (Only Human).mp3,/image/cover-362.jpg
The Chainsmokers,100% Chainsmokers,Paris,Pop,,/songs/7 - The Chainsmokers - Paris.mp3,/image/cover-363.jpg
Taylor Swift,Essentials,You Belong With Me,Pop,Freak37,/songs/7 You Belong With Me.mp3,/image/cover-364.jpg
Calum Scott,Only Human (Deluxe),Dancing On My Own,(13),https://musicriders.blogspot.com,/songs/7. Dancing On My Own.mp3,/image/cover-365.jpg
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/7. Smile.mp3,/image/cover-366.jpg
Tiësto;The Chainsmokers,100% Chainsmokers,Split (Only U),Pop,,/songs/8 - Tiësto - Split (Only U).mp3,/image/cover-367.jpg
Taylor Swift,Essentials,Love Story,Pop,Freak37,/songs/8 Love Story.mp3,/image/cover-368.jpg
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/8. Champagne Problems.mp3,/image/cover-369.jpg
Calum Scott,Only Human (Deluxe),Only You,(13),https://musicriders.blogspot.com,/songs/8. Only You.mp3,/image/cover-370.jpg
The Chainsmokers,100% Chainsmokers,Sick Boy,Pop,,/songs/9 - The Chainsmokers - Sick Boy.mp3,/image/cover-371.jpg
Taylor Swift,Essentials,Look What You Made Me Do,Pop,Freak37,/songs/9 Look What You Made Me Do.mp3,/image/cover-372.jpg
Katy Perry,Smile (Deluxe),,Pop,Freak37,/songs/9. Tucked.mp3,/image/cover-373.jpg
"Calum Scott, Dawn Connie Morton-Young, Isaac Opoku-Kyerematen, Jayando Cole, Keshia Smith, Kwaku Agyemang, Nathan J Gardner, Rebecca Thomas, Shola Graham, Simone Brown",Only Human (Deluxe),Won’t Let You Down,(13),https://musicriders.blogspot.com,/songs/9. Won’t Let You Down.mp3,/image/cover-374.jpg
