Artist,Album,Title,Genre,Comments,music_folder,image_folder,lyrics,
Dua Lipa,Dua Lipa,Homesick,Indie Pop / Pop,Hunter,/songs/12 - Homesick.mp3,/image/cover-190.jpg,"Homesick Lyrics
Here, where the sky's falling
I'm covered in blue
I'm running and I'm crawling
Fighting for you
When the rain stops, then, darling, what will I do?
And I know I go all in, but why do I?

You give me a reason, something to believe in
I know, I know, I know
You give me a meaning, something I can breathe in
I know, I know, I know
It's a bittersweet feeling
Longing, and I'm leaving
I go, I go, I go
But I wish I was there with you
Oh, I wish I was there with you
There's a crack in my window
A bird in my room
Angels all over that watch over you
When I'm walking on water
All my dreams have come true
Still, nothing means nothing
Without you, you

You give me a reason, something to believe in
I know, I know, I know
You give me a meaning, something I can breathe in
I know, I know, I know
It's a bittersweet feeling
Longing, and I'm leaving
I go, I go, I go
Tell my heart to lie, but I know deep inside it's true
That I wish I was there with you
That I wish I was there with you
Oh, I wish I was there with you


You give me a reason, something to believe in
I know, I know, I know
You give me a meaning, something I can breathe in
I know, I know, I know
It's a bittersweet feeling
Longing, and I'm leaving
I go, I go, I go
Tell my heart to lie, but I know deep inside it's true
That I wish I was there with you
That I wish I was there with you
Oh, I wish I was there with you35Embed",
Coldplay,Greatest Songs,Paradise,Rock / (131),https://musicriders.blogspot.com (or) Mega Zone Riders,/songs/12 - Paradise.mp3,/image/cover-191.jpg,"Paradise Lyrics

Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh
When she was just a girl
She expected the world
But it flew away from her reach
So she ran away in her sleep

And dreamed of para-para-paradise
Para-para-paradise
Para-para-paradise
Every time she closed her eyes
Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh
When she was just a girl
She expected the world
But it flew away from her reach
And the bullets catch in her teeth

Life goes on, it gets so heavy
The wheel breaks the butterfly
Every tear, a waterfall
In the night, the stormy night, she'd close her eyes
In the night, the stormy night, away she'd fly

And dream of para-para-paradise
Para-para-paradise
Para-para-paradise
Oh, oh-oh, oh-oh, oh-oh-oh
She'd dream of para-para-paradise
Para-para-paradise
Para-para-paradise
Oh, oh-oh, oh-oh, oh-oh-oh

La, la-la, la-la-la
La, la-la, la-la-la
La, la-la, la-la-la, la-la
So lying underneath those stormy skies
She said, ""Oh, oh-oh-oh-oh I know the sun must set to rise""
This could be para-para-paradise
Para-para-paradise
This could be para-para-paradise
Oh, oh-oh, oh-oh, oh-oh-oh
This could be para-para-paradise
Para-para-paradise
This could be para-para-paradise
Oh, oh-oh, oh-oh, oh-oh-oh


This could be para-para-paradise
This could be para-para-paradise
This could be para-para-paradise
Oh-oh-oh-oh-oh oh-oh-oh

Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh
Ooh-ooh-ooh, ooh-ooh-ooh...98Embed",
Ed Sheeran,÷,Supermarket Flowers,,Freak37,/songs/12 - Supermarket Flowers.mp3,/image/cover-192.jpg,"Supermarket Flowers Lyrics
I took the supermarket flowers from the windowsill
I threw the day old tea from the cup
Packed up the photo album Matthew had made
Memories of a life that's been loved
Took the get well soon cards and stuffed animals
Poured the old ginger beer down the sink
Dad always told me, ""Don't you cry when you're down""
But mum, there's a tear every time that I blink

Oh, I'm in pieces, it's tearing me up, but I know
A heart that's broke is a heart that's been loved

So I'll sing Hallelujah
You were an angel in the shape of my mum
When I fell down you'd be there holding me up
Spread your wings as you go
When God takes you back
He'll say, ""Hallelujah, you're home""
I fluffed the pillows, made the beds, stacked the chairs up
Folded your nightgowns neatly in a case
John says he'd drive then put his hand on my cheek
And wiped a tear from the side of my face

I hope that I see the world as you did 'cause I know
A life with love is a life that's been lived

So I'll sing Hallelujah
You were an angel in the shape of my mum
When I fell down you'd be there holding me up
Spread your wings as you go
When God takes you back
He'll say, ""Hallelujah, you're home""

Hallelujah
You were an angel in the shape of my mum
You got to see the person I have become
Spread your wings and I know
That when God took you back
He said, ""Hallelujah, you're home""73Embed",
The Chainsmokers;Phoebe Ryan,100% Chainsmokers,All We Know,Pop,,/songs/12 - The Chainsmokers - All We Know.mp3,/image/cover-193.jpg,"All We Know Lyrics
Fighting flames with fire
Hang onto burning wires
We don't care anymore
Are we fading lovers?
We keep wasting colors
Maybe we should let this go
We're falling apart, still we hold together
We've passed the end, so we chase forever
'Cause this is all we know
This feeling's all we know

I'll ride my bike up to the road
Down the streets right through the city
I'll go everywhere you go
From Chicago to the coast
You tell me, ""Hit this and let's go
Blow the smoke right through the window""
'Cause this is all we know
'Cause this is all we know
'Cause this is all we know

Never face each other
One bed, different covers
We don't care anymore
Two hearts still beating
On with different rhythms
Maybe we should let this go
We're falling apart, still we hold together
We've passed the end, so we chase forever
'Cause this is all we know
This feeling's all we know

I'll ride my bike up to the road
Down the streets right through the city
I'll go everywhere you go
From Chicago to the coast
You tell me, ""Hit this and let's go
Blow the smoke right through the window""
'Cause this is all we know
'Cause this is all we know
'Cause this is all we know78Embed",
One Direction,Take Me Home,They Don't Know About Us,Pop,,/songs/12 - They Don't Know About Us.mp3,/image/cover-194.jpg,"They Don’t Know About Us Lyrics
People say we shouldn’t be together
Too young to know about forever
But I say they don’t know
What they talk talk talking about (Talk talk talking about)
'Cause this love is only getting stronger
So I don’t wanna wait any longer
I just wanna tell the world that you're mine girl, oh

They don’t know about the things we do
They don’t know about the I love you’s
But I bet you if they only knew
They would just be jealous of us
They don’t know about the up all nights
They don’t know I've waited all my life
Just to find a love that feels this right
Baby they don’t know about, they don’t know about us
Just one touch and I was a believer
Every kiss it gets a little sweeter
It’s getting better
Keeps getting better all the time girl

They don’t know about the things we do
They don’t know about the I love you’s
But I bet you if they only knew (They don't know)
They would just be jealous of us
They don’t know about the up all nights
They don’t know I've waited all my life
Just to find a love that feels this right
Baby they don’t know about, they don’t know about us

They don’t know how special you are
They don’t know what you’ve done to my heart
They can say anything they want
'Cause they don’t know about us
They don’t know what we do best
That’s between me and you, our little secret
But I wanna tell 'em
I wanna tell the world that you're mine girl
They don’t know about the things we do
They don’t know about the I love you’s
(I love you)
But I bet you if they only knew
(If they only knew)
They would just be jealous of us
(They would just be jealous of us)
They don’t know about the up all nights
They don’t know I've waited all my life
Just to find a love that feels this right
(It feels so right)
Baby they don’t know about, they don’t know about us
(They don't know about us, they don't know about us)
They don’t know about the things we do
They don’t know about the I love you’s
(They don't know about us)
But I bet you if they only knew
They would just be jealous of us
They don’t know about the up all nights (Up all night)
They don’t know I've waited all my life (All my life)
Just to find a love that feels this right
Baby they don’t know about, they don’t know about us
They don’t know about us38Embed",
Camila Cabello,Familia,everyone at this party,Pop,,/songs/12 everyone at this party.mp3,/image/cover-195.jpg,"​everyone at this party Lyrics
Didn't wanna ask our friend if you were gonna be here
And make the whole thing weird
But I was nervous in the car just in case you are
Just in case the coast ain't clear
And I'm looking over people's shoulders
And that's fucked up, I know that

And I just had this vision of you looking at me different
When you saw this dress
But I'd have one drink and I'd say the wrong thing
So it's probably for the best
And I'm looking over peoples' shoulders
And I'm hoping that you're somewhere close
But everyone at this party isn't you
Everyone at this party isn't you
You're the only one I wanna run into
But I never do
Everyone at this party isn't you
Everyone at this party isn't you
I don't wanna search for you in every room
But I always do

I got in last night, staying on the west side
Scotty told me you're here
And I'm having these thoughts, did we fuck it up or not?
Did we waste two years?
And did you get the space you needed?
Did you realize you don't need me?
Hey, did you realize you don't need me?

Everyone at this party isn't you
Everyone at this party isn't you
You're the only one I wanna run into
But I never do
Everyone at this party isn't you
Everyone at this party isn't you
Don't wanna search for you in every room
But I always do
Everyone at this party isn't you
Everyone at this party isn't you
Hey, did you realize you don't need me?6Embed",
Snow Patrol,Greatest Hits,Spitting Games,Alternative,,/songs/12 Snow Patrol - Spitting Games.mp3,/image/cover-196.jpg,"Spitting Games Lyrics
I broke into your house last night
And left a note at your bedside
I'm far too shy to speak to you at school
You leave me numb, and I'm not sure why

I find it easier to sit and stare
Than push my limbs out towards you right there
My heart is bursting in your perfect eyes
As blue as oceans and as pure as skies

I struggle for the words and then give up
My head's up with the birds in the t-hut
A little peace of mind that I know better
Than the plain disgrace of all my letters
But after that the floodgates opened up
And I fell in love with everyone I saw
Please take your time, I'm not in any rush
And it's in everything I ever write

It's not as if I need the extra weight
Confused enough by life, so thanks a lot
Lonely written words for company
Just raise the roof this once and follow me

I struggle for the words and then give up
My head's up with the birds on the T hut
A little peace of mind that I know better
Than the plain disgrace of all my lettersEmbed",
Taylor Swift,Essentials,We Are Never Ever Getting Back Together,Pop,Freak37,/songs/12 We Are Never Ever Getting Back Together.mp3,/image/cover-197.jpg,"We Are Never Ever Getting Back Together Lyrics
I remember when we broke up the first time
Saying, ""This is it, I've had enough,"" 'cause like
We hadn't seen each other in a month
When you said you needed space (What?)
Then you come around again and say
""Baby, I miss you and I swear I'm gonna change, trust me""
Remember how that lasted for a day?
I say, ""I hate you,"" we break up, you call me, ""I love you""

Ooh-ooh-ooh-ooh-ooh
We called it off again last night, but
Ooh-ooh-ooh-ooh-ooh
This time, I'm telling you, I'm telling you
We are never, ever, ever getting back together
We are never, ever, ever getting back together
You go talk to your friends, talk to my friends, talk to me
But we are never, ever, ever, ever
Getting back together
Like, ever

I'm really gonna miss you picking fights
And me falling for it, screaming that I'm right
And you would hide away and find your peace of mind
With some indie record that's much cooler than mine

Ooh-ooh-ooh-ooh-ooh
You called me up again tonight, but
Ooh-ooh-ooh-ooh-ooh
This time, I'm telling you, I'm telling you

We (We) are never, ever, ever getting back together
We are never, ever, ever getting back together
You go talk to your friends, talk to my friends, talk to me
(Talk to me) But we are never, ever, ever, ever
Getting back together
Ooh-ooh-ooh-ooh-ooh (Yeah)
Ooh-ooh-ooh-ooh-ooh-ooh (Yeah)
Ooh-ooh-ooh-ooh-ooh (Yeah)
Oh-oh-oh

I used to think that we were forever, ever
And I used to say, ""Never say never""
Ugh, so he calls me up and he's like, ""I still love you""
And I'm like, ""I just, I mean, this is exhausting, you know?
Like, we are never getting back together, like, ever""

(No) We are never, ever, ever getting back together
We are never, ever, ever (Ooh) getting back together
You go talk to your friends, talk to my friends, talk to me
But we are never, ever, ever, ever
Getting back together

We (Ooh-ooh-ooh-ooh-ooh, ooh-ooh-ooh, no)
Getting back together
We (Ooh-ooh-ooh-ooh-ooh, oh, oh)
Getting back together (Yeah)
You go talk to your friends, talk to my friends, talk to me
(Talk to me) But we are never, ever, ever, ever
Getting back together71Embed",
The Beatles,Revolver (Remastered),Yellow Submarine,(17)Rock,,/songs/12 yellow subarine.mp3,,"Yellow Submarine Lyrics
In the town where I was born
Lived a man who sailed to sea
And he told us of his life
In the land of submarines

So we sailed on to the sun
Till we found the sea of green
And we lived beneath the waves
In our yellow submarine

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine
And our friends are all aboard
Many more of them live next door
And the band begins to play

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine

Full steam ahead, Mister Boatswain, full steam ahead
Full steam ahead it is, Sergeant
Cut the cable! Drop the cable!
Aye-aye, sir, aye-aye
Captain! Captain!

As we live a life of ease
Every one of us (Every one of us) has all we need (Has all we need)
Sky of blue (Sky of blue) and sea of green (Sea of green)
In our yellow (In our yellow) submarine (Submarine, ha-ha!)

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine28Embed",
Oasis,Oasis - Greatest Hits CD1,Champagne Supernova,,,/songs/12. Champagne Supernova.mp3,,"Champagne Supernova Lyrics
How many special people change?
How many lives are living strange?
Where were you while we were getting high?

Slowly walking down the hall
Faster than a cannonball
Where were you while we were getting high?

Someday you will find me
Caught beneath the landslide
In a champagne supernova in the sky
Someday you will find me
Caught beneath the landslide
In a champagne supernova
A champagne supernova in the sky
Wake up the dawn and ask her why
A dreamer dreams she never dies
Wipe that tear away now from your eye

Slowly walking down the hall
Faster than a cannonball
Where were you while we were getting high?

Someday you will find me
Caught beneath the landslide
In a champagne supernova in the sky
Someday you will find me
Caught beneath the landslide
In a champagne supernova
A champagne supernova

'Cause people believe
That they're gonna get away for the summer
But you and I, we live and die
The world's still spinning 'round, we don't know why
Why? Why? Why? Why?

How many special people change?
How many lives are living strange?
Where were you while we were getting high?

Slowly walking down the hall
Faster than a cannonball
Where were you while we were getting high?

Someday you will find me
Caught beneath the landslide
In a champagne supernova in the sky
Someday you will find me
Caught beneath the landslide
In a champagne supernova
A champagne supernova

'Cause people believe
That they're gonna get away for the summer
But you and I, we live and die
The world's still spinning 'round, we don't know why
Why? Why? Why? Why?

How many special people change?
How many lives are living strange?
Where were you while we were getting high?
We were getting high
We were getting high
We were getting high
We were getting high
We were getting high
We were getting high
We were getting high
We were getting high
We were getting high50Embed",
Harry Styles,Fine Line,Fine Line,Pop,www.t.me/pmedia_music,/songs/12. Fine Line.mp3,/image/cover-200.jpg,"Fine Line Lyrics
Put a price on emotion
I'm looking for something to buy
You've got my devotion
But man, I can hate you sometimes
I don't want to fight you
And I don't want to sleep in the dirt
We'll get the drinks in
So I'll get to thinking of her

We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
Test of my patience
There's things that we'll never know
You sunshine, you temptress
My hand's at risk, I fold
Crisp trepidation
I'll try to shake this soon
Spreading you open
Is the only way of knowing you

We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be a fine line
We'll be alright
We'll be alright
We'll be a fine line
We'll be a fine line
We'll be alright (Alright, alright, alright)
(We'll be alright)
(We'll be alright)
We'll be alright
We'll be alright
Oh84Embed",
Calum Scott,Only Human (Deluxe),Good To You,-13,https://musicriders.blogspot.com,/songs/12. Good To You.mp3,/image/cover-201.jpg,"Good to You Lyrics
If I could go back
To when you were lonely
I'd be there to hold your hand, yeah
Go into our past
'Cause we are the only
People who can understand, yeah

The road that you travelled on, gravel and stone
Has paved every path that I've known

I will be good to you
I know 'cause I've been there before
I will be good to you
I know that it's hard
I will be good to you
Because of my struggle, I swore
That I'd always be good to you
I will be good to you
I know 'cause I've been there before
I will be good to you
Through all of your scars
I will be good to you
Because of my struggle, I swore
That I'd always be good to you
The places you've been
Those places are haunted
But soon you'll be on your way, yeah
You'll never give in
You'll find out what you wanted
I'll be with you night and day, yeah

The road that you travelled on, gravel and stone
Has paved every path that I've known

I will be good to you
I know 'cause I've been there before
I will be good to you
I know that it's hard
I will be good to you
Because of my struggle, I swore
That I'd always be good to you
I will be good to you
I know 'cause I've been there before
I will be good to you
Through all of your scars
I will be good to you
Because of my struggle, I swore
That I'd always be good to you
(Be good to you) Oh, yeah
(Be good to you) Oh, yeah
(I promise to be good to you) Oh I'll be good to you, yeah
(Be good to you) Oh, yeah
(Be good to you) Oh, yeah
(I promise to be good to you) I'll be good to you, yeah
If I could go back
To when you were lonely
I'd be there to hold your hand

I will be good to you
I know 'cause I've been there before
I will be good to you
I know that it's hard
I will be good to you
Because of my struggle, I swore
That I'd always be good to you
I will be good to you
I know 'cause I've been there before
I will be good to you
Through all of your scars
I will be good to you
Because of my struggle, I swore
That I'd always be good to you
Be good to you
I promise to be good to you
Be good to you
I promise to be good to you
Be good to youEmbed",
Snoop Dogg,BODR,Jerseys In The Rafters (feat. The Game),,PMEDIA,/songs/12. Jerseys In The Rafters (feat. The Game).mp3,/image/cover-202.jpg,"Jersey In The Rafters Lyrics
Ayo, Dogg, what's happenin' with motherfuckin' hip-hop, man?
Give us some lyrics, cuh
Some of that real hip-hop, you know what I'm talkin' 'bout?
Boy, you lost it, nigga

It was him (Who?) then me (Who?) and no one after
So I blazed my trail and wrote my own chapters
Stomped down pterodactical raptors
Game's sustained, my new jersey's in the rafters

Statisticians, they keep up with it
No sleep 'til they get it
And once they got it, they count it
So I learned how to dismount it
My landing was perfect
A man with a purpose
I learned to resurface
A boss but no workers
While you're sleepin', I'm lurkin'
I'm shifty at fifty, I keep the work and I'm workin'
Big Snoop D-O-double-G
Yеllow like bumblebee
Mellow likе R&B
Your bitches keep followin' me
I'm right where I oughta be
Plottin' my pottery
I'm watchin' my calories
Rechargin' my batteries
A ticket up front? That's my usual salary
They imitatin' my style, shit, I call it flattery
I'm here forever, nigga, and that's just what that'll be
Look it up, hook it up
Charge it to the game until you book it up
Take a picture, nigga, look at us
Hit-Boy and Snoop Dogg in the kitchen, nigga, cookin' up
Ayy, Dogg, get on the phone with Dre, tell Dre call Interscope, tell them niggas run me my shit or else, nigga

The Game's to be sold, Blood, not to be told, Blood
The chronic get broke down, Backwoods get rolled up
Yup, fifty Bloods when I showed up
What's beef? Chopper turnin' niggas into cold cuts
Snoop told me, ""Show love,"" but niggas ain't deserve it
I'ma talk my shit like I'm the next rapper murdered
Red sedan swervin' with the Peter Pan workin'
Hand-to-hand serve 'em right outside of Tam Burgers
Bullets ain't got no names, my fully quick to aim
I bully niggas for change, I pulled in to rip the strings
Puppet master, F&N's got 'em duckin' faster
Aftermath, you niggas know it ain't nothin' after
I can't chill 'til I see a hundred mil'
Hop off a PJ in Aruba with a blunt and chill
My old apartment still in action, water runnin' still
And if I can't kill you, these L.A. summers will

It was him then me and no one after
So I blazed my trail and wrote my own chapters
Stomped down pterodactical raptors
Game's sustained, my new jersey's in the rafters (Nigga)
Yeah
2022
Death Row Records
'Nough said1Embed",
Imagine Dragons,Origins (Deluxe),Love,Alternative,Freak37,/songs/12. Love.mp3,/image/cover-203.jpg,"Love Lyrics
It's been a long time comin’, comin'
Seeming like we all been runnin', runnin’
Feeling like the wild west, gunnin', gunnin'
Listen to our elders shunnin', shunnin'
Flipping on the news beat talkin', talkin'
All about the problems, shockin', shockin’
We put on our headphones walking, walking
We put on our headphones

Where did we all go wrong?
Love, love, love
Lo-lo-lo-love, love, love
Lo-lo-lo-love, love, love
Lo-lo-lo-love, love, love
Where did we all, where did we all go wrong?
All we see is faces, color, color
All the other races, other, other
Why can’t you just be my brother, brother?
We don't have to kill one another, kill one another
All around the world, we are one, we are one
All around the world, we are one

So where did we all go wrong?
Love, love, love
Lo-lo-lo-love, love, love
Lo-lo-lo-love, love, love
Lo-lo-lo-love, love, love
Where did we all, where did we all go wrong?
Love, love, love
(It’s darkest before the dawn)
Lo-lo-lo-love, love, love
(Love is our only hope)
Lo-lo-lo-love, love, love
Lo-lo-lo-love, love, love
Where did we all, where did we all go wrong?

'Cause we got the same blood, blood
We got the same blood, blood
Will it be enough, 'nough?
Will it be enough?
We got the same heartbeat
We're living for the same dream
We got the same bloodstream
Where did we all go wrong?
Woo
Where did we all, where did we all go wrong?
Love, love, love, love
(It’s darkest before the dawn)
Lo-lo-lo-love, love, love
(Love is our only hope)
Lo-lo-lo-love, love, love, oh
Lo-lo-lo-love, love, love

Where did we all, where did we all go wrong?
Where did we all, where did we all?
Where did we all, where did we all? (Oh)
Where did we all, where did we all?
Where did we all, where did we all go wrong?
Love, love, love
Where did we all, where did we all?
Lo-lo-lo-love, love, love
Where did we all, where did we all?
Lo-lo-lo-love, love, love
Where did we all, where did we all go wrong?9Embed",
Oasis,Oasis - Greatest Hits CD2,Oasis  The Importance Of Being Idle,,,/songs/12. Oasis  The Importance Of Being Idle.mp3,,"The Importance of Being Idle Lyrics
I sold my soul for the second time
'Cause the man don't pay me
I begged my landlord for some more time
He said, ""Son, the bills are waiting""
My best friend called me the other night
He said, ""Man, are you crazy?""
My girlfriend told me to get a life
She said, ""Boy, you lazy""

But I don't mind
As long as there's a bed beneath the stars that shine
I'll be fine
If you give me a minute
A man's got a limit
I can't get a life if my heart's not in it

I don't mind
As long as there's a bed beneath the stars that shine
I'll be fine
Give me a minute
A man's got a limit
I can't get a life if my heart's not in it

I lost my faith in the summertime
'Cause it don't stop raining
The sky all day is as black as night
But I'm not complaining
I begged my doctor for one more line
He said, ""Son, words fail me""
It ain't no place to be killing time
I guess I'm just lazy

I don't mind
As long as there's a bed beneath the stars that shine
I'll be fine
Give me a minute
A man's got a limit
I can't get a life if my heart's not in it3Embed",
John Mayer,Essentials,Slow Dancing in a Burning Room,Pop,www.t.me/pmedia_music,/songs/12. Slow Dancing in a Burning Room.mp3,/image/cover-205.jpg,"Slow Dancing in a Burning Room Lyrics
It's not a silly little moment
It's not the storm before the calm
This is the deep and dying breath of
This love that we've been working on
Can't seem to hold you like I want to
So I can feel you in my arms
Nobody's going to come and save you
We pulled too many false alarms

We're going down
And you can see it, too
We're going down
And you know that we're doomed
My dear, we're slow dancing in a burning room
I was the one you always dreamed of
You were the one I tried to draw
How dare you say it's nothing to me?
Baby, you're the only light I ever saw
I'll make the most of all the sadness
You'll be a bitch, because you can
You try to hit me, just to hurt me
So you leave me feeling dirty
'Cause you can't understand

We're going down
And you can see it, too
We're going down
And you know that we're doomed
My dear, we're slow dancing in a burning room

Go cry about it, why don't you?
Go cry about it, why don't you?
Go cry about it, why don't you?

My dear, we're slow dancing in a burning room
Burning room
Burning room
Burning room
Burning room
Don't you think we ought to know by now?
Don't you think we should have learned somehow?
Don't you think we ought to know by now?
Don't you think we should have learned somehow?
Don't you think we ought to know by now?
Don't you think we should have learned somehow?54Embed",
Camila Cabello,Romance,Used To This,Pop,Freak37,/songs/12. Used To This.mp3,/image/cover-206.jpg,"Used to This Lyrics
No, I never liked San Francisco
Never thought it was nothin' special
'Til you kissed me there
No, I never liked windy cities
But I think maybe when you're with me
I like everywhere (Oh)

It's the strangest feelin'
Midnight, I'm not leavin'
No, for once, I think I'll stay (Oh)
I say your name, just listen
Doesn't it sound different?
Never whispered it this way
It's gonna take me a minute
But I could get used to this
The feelin' of your fingertips
The feelin' of another kiss
It's gonna take me a minute (Oh)
But I could get used to this (Oh)
Like every tattoo on your skin (Oh)
I'm memorizin' every inch
I could get used to this (Oh, oh, oh, oh, oh)
I could get used to this, definitely

No, I never did like tequila
But there's something 'bout when I see ya
Think I need a drink
And the calluses on your fingers
I admire them from a distance
Now they're on my cheek (Oh)

Oh, I've known you forever
Now I know you better
Let's just get carried away, oh (Oh)
And it bears repeating
How hard my heart's beating
When you tell me I should stay
It's gonna take me a minute
But I could get used to this (Baby)
The feelin' of your fingertips
The feelin' of another kiss (Feelin' of another kiss)
It's gonna take me a minute (Oh)
But I could get used to this (Oh)
Like every tattoo on your skin (Oh)
I'm memorizin' every inch
I could get used to this (Oh, oh, oh, oh)
I could get used to this (Oh, oh, stay, stay, stay, stay)
I could get used to this (Oh, oh, oh, oh, oh)
I could get used to this, definitely

No, I never liked San Francisco
Never thought it was nothin' special
'Til you kissed me there

Oh, it's gonna take me a minute
But I could get used to this (Yeah)
The feelin' of your fingertips (Ah)
The feelin' of another kiss (The feelin' of another kiss)
It's gonna take me a minute (Oh)
But I could get used to this (Oh)
Like every tattoo on your skin (On your skin, oh)
I'm memorizin' every inch
I could get used to this (I feel it all)
I could get used to this (Your kisses, oh, I'll risk it all)
I could get used to this (Seventeen when we started to fall, but we lost it all)
I could get used to this (And I just can't believe it all), definitely13Embed",
Ed Sheeran,=,Visiting Hours,,PMEDIA,/songs/12. Visiting Hours.mp3,/image/cover-207.jpg,"Visiting Hours Lyrics
I wish that Heaven had visiting hours
So I could just show up and bring the news
That she's getting older and I wish that you'd met her
The things that she'll learn from me, I got them all from you

Can I just stay a while and we'll put all the world to rights?
The little ones will grow and I'll still drink your favourite wine
And soon, they're going to close, but I'll see you another day
So much has changed since you've been away

I wish that Heaven had visiting hours
So I could just swing by and ask your advice
What would you do in my situation?
I hadn't a clue how I'd even raise them
What would you do? 'Cause you always do what's right
Can we just talk a while until my worries disappear?
I'd tell you that I'm scared of turning out a failure
You'd say, ""Remember that the answer's in the love that we create""
So much has changed since you've been away

I wish that Heaven had visiting hours
And I would ask them if I could take you home
But I know what they'd say, that it's for the best
So I will live life the way you taught me
And make it on my own

And I will close the door, but I will open up my heart
And everyone I love will know exactly who you are
'Cause this is not goodbye, it is just 'til we meet again
So much has changed since you've been away18Embed",
Katy Perry,Smile (Deluxe),What makes a woman,Pop,Freak37,/songs/12. What Makes A Woman (Extended Version) (2).mp3,/image/cover-208.jpg,"What Makes a Woman Lyrics
Is it the way I talk sweet?
The way my skin is soft?
Or how I can be a bitch?
Make you keep your fingers crossed?
Is it the way that I praise you?
The way that I please you?
Or how fast I change my mind
And get scared that I might leave you?

Could spend your whole life, but you couldn't
Describe what makes a woman
She’s always been a perfect mystery
Could spend your whole life, but you couldn't
Describe what makes a woman
And that's what makes a woman to me
Is it the way I cut my hair
And put no makeup on?
I feel most beautiful
Doing what the fuck I want
Is it that my intuition
Is never really off?
I need tissues for my issues
And Band-Aids for my heart

Could spend your whole life, but you couldn’t
Describe what makes a woman
She's always been a perfect mystery
Could spend your whole life, but you couldn't
Describe what makes a woman
And that's what makes a woman to me

Oh, oh
Oh, oh
That's what makes a woman to me
Oh, oh (Oh yeah, yeah-yeah)
Oh, oh

Is it the way we keep
The whole world turning
In a pair of heels?
Yeah, that's what makes a woman
(There it is, Katheryn)5Embed",
Nirvana,Greatest Hits,Dumb,Grunge,,/songs/12.Dumb.mp3,/image/cover-209.jpg,"Dumb Lyrics
I'm not like them
But I can pretend
The sun is gone
But I have a light
The day is done
But I'm having fun
I think I'm dumb
Or maybe just happy
Think I'm just happy
Think I'm just happy
Think I'm just happy

My heart is broke
But I have some glue
Help me inhale
And mend it with you
We'll float around
And hang out on clouds
Then we'll come down
And have a hangover
Have a hangover
Have a hangover
Have a hangover
Skin the sun, fall asleep
Wish away, the soul is cheap
Lesson learned, wish me luck
Soothing burn, wake me up

I'm not like them
But I can pretend
The sun is gone
But I have a light
The day is done
But I'm having fun
I think I'm dumb
Or maybe just happy
Think I'm just happy
Think I'm just happy
Think I'm just happy
I think I'm dumb
I think I'm dumb
I think I'm dumb
I think I'm dumb
I think I'm dumb
I think I'm dumb
I think I'm dumb
I think I'm dumb
I think I'm dumb
I think I'm dumb
I think I'm dumb
I think I'm dumb55Embed",
